code,銘柄名称,市場区分,業種,売買単位,東証上場日
1301,極洋,プライム,水産・農林業,100,1949-05-16
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース,医薬品,100,2024-02-08
1332,ニッスイ,プライム,水産・農林業,100,1949-05-16
1333,Ｕｍｉｏｓ,プライム,水産・農林業,100,2014-04-01
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,情報・通信業,100,2024-02-22
1375,ユキグニファクトリー,プライム,水産・農林業,100,2020-09-17
1376,カネコ種苗,スタンダード,水産・農林業,100,2013-07-16
1377,サカタのタネ,プライム,水産・農林業,100,1987-05-11
1379,ホクト,プライム,水産・農林業,100,1999-11-29
137A,Ｃｏｃｏｌｉｖｅ,グロース,情報・通信業,100,2024-02-28
1380,秋川牧園,スタンダード,水産・農林業,100,2013-07-16
1381,アクシーズ,スタンダード,水産・農林業,100,2013-07-16
1382,ホーブ,スタンダード,水産・農林業,100,2013-07-16
1383,ベルグアース,スタンダード,水産・農林業,100,2013-07-16
1384,ホクリヨウ,スタンダード,水産・農林業,100,2015-02-20
138A,光フードサービス,グロース,小売業,100,2024-02-28
1401,エムビーエス,グロース,建設業,100,2015-08-13
1407,ウエストホールディングス,スタンダード,建設業,100,2013-07-16
1414,ショーボンドホールディングス,プライム,建設業,100,2008-01-04
1417,ミライト・ワン,プライム,建設業,100,2010-10-01
1418,インターライフホールディングス,スタンダード,建設業,100,2013-07-16
1419,タマホーム,プライム,建設業,100,2013-03-27
141A,トライアルホールディングス,グロース,小売業,100,2024-03-21
1420,サンヨーホームズ,スタンダード,建設業,100,2013-04-09
1429,日本アクア,プライム,建設業,100,2013-12-13
142A,ジンジブ,グロース,サービス業,100,2024-03-22
1430,ファーストコーポレーション,スタンダード,建設業,100,2015-03-24
1431,Ｌｉｂ　Ｗｏｒｋ,グロース,建設業,100,2019-06-18
1433,ベステラ,プライム,建設業,100,2015-09-02
1434,ＪＥＳＣＯホールディングス,スタンダード,建設業,100,2015-09-08
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,不動産業,100,2015-12-03
1436,グリーンエナジー＆カンパニー,グロース,建設業,100,2016-03-11
1438,岐阜造園,スタンダード,建設業,100,2022-09-28
143A,イシン,グロース,サービス業,100,2024-03-25
1443,技研ホールディングス,スタンダード,建設業,100,2018-01-09
1444,ニッソウ,グロース,建設業,100,2022-07-25
1446,キャンディル,スタンダード,建設業,100,2018-07-05
1447,ＳＡＡＦホールディングス,グロース,建設業,100,2018-10-01
1450,ＴＡＮＡＫＥＮ,スタンダード,建設業,100,2018-12-18
145A,Ｌ　ｉｓ　Ｂ,グロース,情報・通信業,100,2024-03-26
146A,コロンビア・ワークス,スタンダード,不動産業,100,2024-03-27
147A,ソラコム,グロース,情報・通信業,100,2024-03-26
148A,ハッチ・ワーク,グロース,情報・通信業,100,2024-03-26
1491,中外鉱業,スタンダード,非鉄金属,100,1949-05-16
149A,シンカ,グロース,情報・通信業,100,2024-03-27
150A,ＪＳＨ,グロース,サービス業,100,2024-03-26
1514,住石ホールディングス,スタンダード,鉱業,100,2008-10-01
1515,日鉄鉱業,プライム,鉱業,100,1954-03-03
1518,三井松島ホールディングス,プライム,その他製品,100,1961-10-02
151A,ダイブ,グロース,サービス業,100,2024-03-27
153A,カウリス,グロース,情報・通信業,100,2024-03-28
155A,情報戦略テクノロジー,グロース,情報・通信業,100,2024-03-28
156A,マテリアルグループ,グロース,サービス業,100,2024-03-29
157A,グリーンモンスター,グロース,サービス業,100,2024-03-29
1605,ＩＮＰＥＸ,プライム,鉱業,100,2006-04-03
160A,アズパートナーズ,スタンダード,サービス業,100,2024-04-04
1662,石油資源開発,プライム,鉱業,100,2003-12-10
1663,Ｋ＆Ｏエナジーグループ,プライム,鉱業,100,2014-01-06
166A,タスキホールディングス,グロース,不動産業,100,2024-04-01
167A,リョーサン菱洋ホールディングス,プライム,卸売業,100,2024-04-01
168A,イタミアート,グロース,その他製品,100,2024-04-08
1711,ＳＤＳホールディングス,スタンダード,建設業,100,2004-12-16
1716,第一カッター興業,スタンダード,建設業,100,2013-07-16
1717,明豊ファシリティワークス,スタンダード,サービス業,100,2013-07-16
1718,美樹工業,スタンダード,建設業,100,2013-07-16
1719,安藤・間,プライム,建設業,100,2003-10-01
1720,東急建設,プライム,建設業,100,2003-10-01
1721,コムシスホールディングス,プライム,建設業,100,2003-09-29
1723,日本電技,スタンダード,建設業,100,2013-07-16
1724,シンクレイヤ,スタンダード,建設業,100,2013-07-16
1726,ビーアールホールディングス,プライム,建設業,100,2002-09-26
1736,オーテック,スタンダード,建設業,100,2013-07-16
173A,ハンモック,グロース,情報・通信業,100,2024-04-11
1758,太洋基礎工業,スタンダード,建設業,100,2013-07-16
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース,情報・通信業,100,2024-04-16
1762,高松コンストラクショングループ,プライム,建設業,100,2000-01-31
